,title,genre,votes,rating,release_year,plot,poster,imdb_id
1,Guardians of the Galaxy,Action,704613.0,8.1,2014,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,tt2015381
2,Interstellar,Adventure,961763.0,8.6,2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,tt0816692
3,The Grand Budapest Hotel,Adventure,492158.0,8.1,2014,"A writer encounters the owner of an aging high-class hotel,who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_SX300.jpg,tt2278388
4,Gone Girl,Crime,589116.0,8.1,2014,"With his wife's disappearance having become the focus of an intense media circus,a man sees the spotlight turned on him when it's suspected that he may not be innocent.","https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_UX182_CR0,0,182,268_AL_.jpg",tt2267998
5,The Imitation Game,Biography,489175.0,8.1,2014,,,
6,John Wick,Action,503014.0,7.4,2014,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,"https://m.media-amazon.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@._V1_UX182_CR0,0,182,268_AL_.jpg",tt2911666
7,X-Men: Days of Future Past,Action,524078.0,8.0,2014,,,
8,Ouija: Origin of Evil,Horror,6144.0,6.6,2016,,,
9,The Equalizer,Action,235859.0,7.2,2014,,,
10,Maleficent,Action,257707.0,7.0,2014,,,
